element,name,name_norm,brand,brand_norm,amenity,shop,tourism,category,category_final,cuisine,cuisine_clean,opening_hours,opening_hours_norm,is_24_7,mo_open,mo_close,tu_open,tu_close,we_open,we_close,th_open,th_close,fr_open,fr_close,sa_open,sa_close,su_open,su_close,wheelchair,wheelchair_accessible,takeaway,has_takeaway,addr:street,addr_norm,poi_text
node,unknown,unknown,,,vending_machine,,,vending_machine,utility,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown utility
node,unknown,unknown,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown artwork
node,Creston Community Convergence Intersection Painting,creston community convergence intersection painting,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,creston community convergence intersection painting artwork
node,unknown,unknown,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown artwork
node,unknown,unknown,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown artwork
node,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
node,unknown,unknown,,,parking,,,parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
node,unknown,unknown,,,bicycle_parking,,,bicycle_parking,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown transport
node,Jade's Jewel Intersection Painting,jade's jewel intersection painting,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,jade's jewel intersection painting artwork
node,unknown,unknown,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown artwork
node,unknown,unknown,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown artwork
node,Northeast Siskiyou Street,northeast siskiyou street,,,,,information,information,information,,,,,False,,,,,,,,,,,,,,,,0,,0,,,northeast siskiyou street information
node,Northeast 132nd Avenue,northeast 132nd avenue,,,,,information,information,information,,,,,False,,,,,,,,,,,,,,,,0,,0,,,northeast 132nd avenue information
node,unknown,unknown,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,unknown artwork
node,Jarrett Grove Intersection Painting,jarrett grove intersection painting,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,jarrett grove intersection painting artwork
node,Pod,pod,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,pod artwork
node,Lovejoy Columns,lovejoy columns,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,lovejoy columns artwork
node,Ken's Artisan Bakery Annex,ken's artisan bakery annex,,,,bakery,,bakery,bakery,,,Fr-Su 07:00-14:00,Fr-Su 07:00-14:00,False,,,,,,,,,07:00,14:00,07:00,14:00,07:00,14:00,,0,,0,Northwest 21st Avenue,northwest 21st avenue,ken's artisan bakery annex bakery northwest 21st avenue
node,KFC,kfc,KFC,kfc,fast_food,,,fast_food,fast_food,chicken,chicken,"Mo-Su 10:00-22:00; Fr,Sa 10:00-23:00","Mo-Su 10:00-22:00; Fr,Sa 10:00-23:00",False,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,22:00,,0,yes,1,Southeast Powell Boulevard,southeast powell boulevard,kfc kfc fast_food chicken southeast powell boulevard
node,Chevron,chevron,Chevron,chevron,fuel,,,fuel,transport,,,,,False,,,,,,,,,,,,,,,,0,,0,,,chevron chevron transport
node,New Thai Blues,new thai blues,,,restaurant,,,restaurant,restaurant,thai,thai,,,False,,,,,,,,,,,,,,,,0,,0,,,new thai blues restaurant thai
node,Stumptown,stumptown,,,cafe,,,cafe,cafe,coffee_shop,coffee,Mo-Fr 06:30-17:00; Sa-Su 07:00-17:00,Mo-Fr 06:30-17:00; Sa-Su 07:00-17:00,False,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,07:00,17:00,07:00,17:00,yes,1,,0,Southeast Division Street,southeast division street,stumptown cafe coffee southeast division street
node,Ken's Artisan Bakery,ken's artisan bakery,,,,bakery,,bakery,bakery,,,Mo-Su 08:00-16:00,Mo-Su 08:00-16:00,False,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,,0,yes,1,Northwest 21st Avenue,northwest 21st avenue,ken's artisan bakery bakery northwest 21st avenue
node,Franz,franz,Franz,franz,,bakery,,bakery,bakery,,,,,False,,,,,,,,,,,,,,,,0,,0,Northeast 11th Avenue,northeast 11th avenue,franz franz bakery northeast 11th avenue
node,7-Eleven,7-eleven,7-Eleven,7-eleven,,convenience,,convenience,convenience,,,,,False,,,,,,,,,,,,,,,,0,,0,Southeast Powell Boulevard,southeast powell boulevard,7-eleven 7-eleven convenience southeast powell boulevard
node,Starbucks,starbucks,Starbucks,starbucks,cafe,,,cafe,cafe,coffee_shop,coffee,,,False,,,,,,,,,,,,,,,,0,yes,1,West Burnside Street,west burnside street,starbucks starbucks cafe coffee west burnside street
node,Chase,chase,Chase,chase,bank,,,bank,bank,,,"Mo-Fr 09:00-18:00, Sa 09:00-13:00","Mo-Fr 09:00-18:00, Sa 09:00-13:00",False,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,0,,0,West Burnside Street,west burnside street,chase chase bank west burnside street
node,HomeStreet Bank,homestreet bank,HomeStreet Bank,homestreet bank,bank,,,bank,bank,,,Mo-Fr 09:00-17:00,Mo-Fr 09:00-17:00,False,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,homestreet bank homestreet bank bank northwest 23rd avenue
node,Henry Higgins Boiled Bagels,henry higgins boiled bagels,,,restaurant,,,restaurant,restaurant,,,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,henry higgins boiled bagels restaurant northwest 23rd avenue
node,Portal Tea,portal tea,,,cafe,,,cafe,cafe,tea,tea,10:00-21:00,10:00-21:00,False,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,portal tea cafe tea northwest 23rd avenue
node,Pepino's,pepino's,,,restaurant,,,restaurant,restaurant,mexican,mexican,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,pepino's restaurant mexican northwest 23rd avenue
node,Snappy's,snappy's,,,fast_food,,,fast_food,fast_food,sandwich,sandwich,Mo-Su 10:30-19:30,Mo-Su 10:30-19:30,False,10:30,19:30,10:30,19:30,10:30,19:30,10:30,19:30,10:30,19:30,10:30,19:30,10:30,19:30,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,snappy's fast_food sandwich northwest 23rd avenue
node,Tara Thai Northwest,tara thai northwest,,,restaurant,,,restaurant,restaurant,thai;lao,thai lao,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,tara thai northwest restaurant thai lao northwest 23rd avenue
node,Case Study Coffee Roasters,case study coffee roasters,,,cafe,,,cafe,cafe,coffee_shop,coffee,07:00-16:00,07:00-16:00,False,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,07:00,16:00,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,case study coffee roasters cafe coffee northwest 23rd avenue
node,Matador,matador,,,restaurant,,,restaurant,restaurant,mexican,mexican,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,matador restaurant mexican northwest 23rd avenue
node,Grassa,grassa,,,restaurant,,,restaurant,restaurant,italian,italian,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,grassa restaurant italian northwest 23rd avenue
node,Hem 23 Vietanmese Bar & Grill,hem 23 vietanmese bar & grill,,,restaurant,,,restaurant,restaurant,vietnamese,vietnamese,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,hem 23 vietanmese bar & grill restaurant vietnamese northwest 23rd avenue
node,McMenamins Tavern & Pool,mcmenamins tavern & pool,McMenamins,mcmenamins,pub,,,pub,pub,american,american,"Mo-Tu 11:00-23:00; We-Fr 11:00-24:00; Sa 00:00-01:00,11:00-24:00; Su 00:00-01:00,11:00-23:00","Mo-Tu 11:00-23:00; We-Fr 11:00-24:00; Sa 00:00-01:00,11:00-24:00; Su 00:00-01:00,11:00-23:00",False,11:00,23:00,11:00,23:00,11:00,24:00,11:00,24:00,11:00,24:00,00:00,24:00,00:00,23:00,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,mcmenamins tavern & pool mcmenamins pub american northwest 23rd avenue
node,Top Burmese Burma Joy,top burmese burma joy,,,restaurant,,,restaurant,restaurant,burmese;asian,burmese asian,Mo-Su 11:30-21:00,Mo-Su 11:30-21:00,False,11:30,21:00,11:30,21:00,11:30,21:00,11:30,21:00,11:30,21:00,11:30,21:00,11:30,21:00,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,top burmese burma joy restaurant burmese asian northwest 23rd avenue
node,Lovejoy Grocery,lovejoy grocery,,,,convenience,,convenience,convenience,,,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,lovejoy grocery convenience northwest 23rd avenue
node,Large Metal Pigs,large metal pigs,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,large metal pigs artwork
node,Jo Bar,jo bar,,,pub,,,pub,pub,,,,,False,,,,,,,,,,,,,,,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,jo bar pub northwest 23rd avenue
node,Papa Haydn,papa haydn,,,restaurant,,,restaurant,restaurant,regional,regional,Mo-Sa 11:30-22:00; Su 10:00-22:00,Mo-Sa 11:30-22:00; Su 10:00-22:00,False,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,10:00,22:00,,0,,0,Northwest 23rd Avenue,northwest 23rd avenue,papa haydn restaurant regional northwest 23rd avenue
node,Public Drinking Fountain,public drinking fountain,,,drinking_water,,,drinking_water,utility,,,,,False,,,,,,,,,,,,,,,,0,,0,,,public drinking fountain utility
node,Facing the Crowd,facing the crowd,,,,,artwork,artwork,artwork,,,,,False,,,,,,,,,,,,,,,,0,,0,,,facing the crowd artwork
