geometry,name,cuisine,opening_hours,wheelchair,takeaway,addr:street,category
POINT (-122.769579 45.543859),,,,,,,vending_machine
POINT (-122.6141265 45.4948798),,,,,,,artwork
POINT (-122.6158803 45.494195),Creston Community Convergence Intersection Painting,,,,,,artwork
POINT (-122.6088444 45.5174789),,,,,,,artwork
POINT (-122.6569856 45.461471),,,,,,,artwork
POINT (-122.6964228 45.5420191),,,,,,,parking
POINT (-122.6967597 45.5426304),,,,,,,parking
POINT (-122.6773373 45.6029936),,,,,,,bicycle_parking
POINT (-122.6005516 45.5376487),Jade's Jewel Intersection Painting,,,,,,artwork
POINT (-122.6309527 45.5157349),,,,,,,artwork
POINT (-122.6200221 45.5216928),,,,,,,artwork
POINT (-122.5353131 45.5454846),Northeast Siskiyou Street,,,,,,information
POINT (-122.5269072 45.5444291),Northeast 132nd Avenue,,,,,,information
POINT (-122.6195228 45.5186035),,,,,,,artwork
POINT (-122.6370864 45.5644458),Jarrett Grove Intersection Painting,,,,,,artwork
POINT (-122.6813095 45.5228714),Pod,,,,,,artwork
POINT (-122.6809488 45.5255788),Lovejoy Columns,,,,,,artwork
POINT (-122.694221 45.5252905),Ken's Artisan Bakery Annex,,Fr-Su 07:00-14:00,,,Northwest 21st Avenue,bakery
POINT (-122.5790287 45.4977586),KFC,chicken,"Mo-Su 10:00-22:00; Fr,Sa 10:00-23:00",,yes,Southeast Powell Boulevard,fast_food
POINT (-122.6033788 45.4976897),Chevron,,,,,,fuel
POINT (-122.6192847 45.5049882),New Thai Blues,thai,,,,,restaurant
POINT (-122.6155605 45.5054248),Stumptown,coffee_shop,Mo-Fr 06:30-17:00; Sa-Su 07:00-17:00,yes,,Southeast Division Street,cafe
POINT (-122.6942314 45.5254759),Ken's Artisan Bakery,,Mo-Su 08:00-16:00,,yes,Northwest 21st Avenue,bakery
POINT (-122.6542735 45.5252262),Franz,,,,,Northeast 11th Avenue,bakery
POINT (-122.5895983 45.4978083),7-Eleven,,,,,Southeast Powell Boulevard,convenience
POINT (-122.6988675 45.5231344),Starbucks,coffee_shop,,,yes,West Burnside Street,cafe
POINT (-122.699781 45.523444),Chase,,"Mo-Fr 09:00-18:00, Sa 09:00-13:00",,,West Burnside Street,bank
POINT (-122.698241 45.523818),HomeStreet Bank,,Mo-Fr 09:00-17:00,,,Northwest 23rd Avenue,bank
POINT (-122.6983708 45.5274057),Henry Higgins Boiled Bagels,,,,,Northwest 23rd Avenue,restaurant
POINT (-122.6983848 45.5282249),Portal Tea,tea,10:00-21:00,,,Northwest 23rd Avenue,cafe
POINT (-122.6984254 45.5293387),Pepino's,mexican,,,,Northwest 23rd Avenue,restaurant
POINT (-122.698398 45.5294639),Snappy's,sandwich,Mo-Su 10:30-19:30,,,Northwest 23rd Avenue,fast_food
POINT (-122.6984984 45.5321503),Tara Thai Northwest,thai;lao,,,,Northwest 23rd Avenue,restaurant
POINT (-122.698544 45.5327992),Case Study Coffee Roasters,coffee_shop,07:00-16:00,,,Northwest 23rd Avenue,cafe
POINT (-122.6985728 45.5332357),Matador,mexican,,,,Northwest 23rd Avenue,restaurant
POINT (-122.698605 45.5334678),Grassa,italian,,,,Northwest 23rd Avenue,restaurant
POINT (-122.698613 45.5336298),Hem 23 Vietanmese Bar & Grill,vietnamese,,,,Northwest 23rd Avenue,restaurant
POINT (-122.698594 45.5349315),McMenamins Tavern & Pool,american,"Mo-Tu 11:00-23:00; We-Fr 11:00-24:00; Sa 00:00-01:00,11:00-24:00; Su 00:00-01:00,11:00-23:00",,,Northwest 23rd Avenue,pub
POINT (-122.698859 45.5321401),Top Burmese Burma Joy,burmese;asian,Mo-Su 11:30-21:00,,,Northwest 23rd Avenue,restaurant
POINT (-122.6988111 45.5302289),Lovejoy Grocery,,,,,Northwest 23rd Avenue,convenience
POINT (-122.6986916 45.5296808),Large Metal Pigs,,,,,,artwork
POINT (-122.6987196 45.5279444),Jo Bar,,,,,Northwest 23rd Avenue,pub
