query,relevant_poi_ids
"where can i get espresso","9354,11401,18440,9032,1231,10493,19708,10020"
"tacos near me","7846,16226,17001,12470,7564,5719,19718,7735,679,16950,7672,10794,23921,17114,8338"
"find me a dentist","160,622,934,1162,1164,1166,1168,1182,1225,1229,1232,1234,1235,2087,2178,2312,2326,2336,2405,2435,2546,3033,3820,4644,4651,4652,4653,4654,5756,7313,7464,7494"
"need a cashpoint","103,148,204,249,341,587,607,609,931,1072,1268,1355,1386,1387,1418,1500,1847,1919,1978,2154,2526,2999,3651,3658,3695,3757,3817,4946,5504,5521,6260,6264,6443,6888,7266,7292,7293,7945,9358,9412,9473,9696,10154,10494,10543,10625,10843,11643,12544,13566"
"emergency room nearby","13712,13735,14402,14403,15801,16321,16521,16522,18700,19187"
"where to park my car","8231,10615,13438,13667,13668,13681,13694,13700,13746,13758,13768,13772,13773,13807,13808,13853,14152,14183,14184,14385,14396,14409,14422,14492,14493,14494,14501,14503,14783,14942,14959"
"place to lock my bike","2232,5552,18037,20445,23941,23948"
"place for a haircut","163,405,660,661,670,1238,1655,1732,1879,2044,2047,2050,2051,2054,2371,2429,2433,2516,2934,3074,3667,3693,3781,4041,4132,4167,4597,4719,5061,5176,5180,5288,5340,5525,5760,6106,6107,6159,6163,6182,6220,6256,6369,6388,6390,6501,6718,6833"
"coffee shop nearby","21,25,33,107,144,152,228,247,294,548,591,680,681,771,995,1066,1356,1860,1905,2029,2320,2321"
"italian restaurant takeaway","35,113"
"burger place near me","12717,11493,14356,8373,19245,6737,11538,900,14198,24900,17989,5985,6173,3775,18829,6645,3678,882,13609,222"
"vintage clothing store","15720,18409,13252,4189,7901,15739,14142,7029,18502,12999,12586,11935,17410,18866"
"parking garage downtown","8231,10615,13667,13668,13681,13694,13746,13758,13766,13768,13772,13773,13807,13808,13812,13839"
"bicycle rental nearby","172,1167,2147,4662,5548,5551,5572,5573,5588,5589,5590,5616,5617,5632,5675,5676,5679,5680"
"ev charging station","1326,5263,5604,5615,7248,7833,9477,9478,9479,10240,10562,10586,10677,10957,10958,11047,11101,11193,11235,11236"
"car wash near me","891,13882,14303,15001,15520,15653,15772,15961,16196,16493,16842,17071,17305,17377,17528,17598,18072,18763,19105"
"car repair shop nearby","146,388,400,645,886,941,1024,2032,2303,2324,2393,2928,4647,5422,5577,6175,6839,7228,7417,7456"
"pet store nearby","2020,2404,2425,3790,5990,7433,7893,8721,9173,9302,9416,10331,10682,12997,13239,13916,14496,15336,15555,15880,16004,16158,16293,17794,18773,18791,18811,18838,18858,19345"
"electronics store downtown","592,4834,14825,15142,15338,15941,16480,18608,19448"
"bookshop nearby","5752,7899,8416,9044,9282,9344,9414,9459,11740,11827,12612,13837,15755,16067,16824,17110,17137,17246,17421,18114,18508,18600,18955,19003,19732"
"eye doctor near me","115,121,665,895,1040,3076,3662,3700,3819,6386,7471,7874,8300,9052,10538,11565,14870,15738,16001,16077,16192,17551,18634,18943,19275,19564"
"urgent care near me","123,1825,2343,3670"
"vet for my dog","344,1025,2363,2380,2403,2541,4650,7122,7831,8041,9580,10577,11102,11339,11419,11790,13246,13381,13657,13934"
"wheelchair accessible cafe","21,25,29,33,107,112,144,152,161,228,247,294,330,359,360,368,372,395,548,591"
"wheelchair friendly restaurant","20,28,30,32,34,35,36,38,42,48,55,56,57,109,113,116,117,145,162,178"
"accessible pharmacy nearby","131,1415,2350,3788,3924,4017,4179,4183,4407,4409,4680,4700,4898,4936,4937,5124,5432,5644,5720,5721"
"disabled access hospital","13712,13735,14402,14403,15801,16321,16521,16522,18700,19187"
"step free entrance cafe","21,25,29,33,107,112,144,152,161,228,247,294,330,359,360,368,372,395,548,591"
"mobility friendly shop","24,39,192,193,209,295,327,328,356,363,371,375,384,390,391,396,411,434,436,473"
"atm near city center","103,148,204,249,341,587,607,609,931,1072,1268,1355,1386,1387,1418,1500,1847,1919,1978,2154"
