query,relevant_poi_ids
"Rudy's Barbershop","405,14508,16566,18931"
"Rocky Butte Espresso Bar","10020"
"The Old Church Concert Hall","16886"
"cafe on Southeast Division Street","21,681"
"restaurant on Southeast Morrison Street","113"
"dentist on Southwest Capitol Highway","1182"
"bar on Southeast 13th Avenue","2316"
"convenience store on Southeast César E. Chávez Boulevard","193"
"clothes store on Southwest Alder Street","8310,8311"
"letter box","9635,9729,9756,9757,9758"
"waste basket","416,439,442,726,913"
"bicycle parking Sellwood","237"
"place of worship","72,73,74,75,76"
"parking entrance","238,353"
"cannabis dispensary on Southeast César E. Chávez Boulevard","2329,5134,10242"
