query,location_name,user_lat,user_lon,relevant_poi_ids
coffee near me,portland_center,45.5051,-122.675,"17394,16471,10681,9032,4081,9047,5547,20951,9056,7321,3753,11241,11877,7527,9490"
coffee near me,powells_books,45.523,-122.6815,"247,8248,7995,8282,1103,11955,8262,10267,8206,12954,1356,8366,8395,11323,12955"
coffee near me,pioneer_square,45.5189,-122.6794,"14124,11401,7496,11323,3234,8673,8371,7844,12954,8366,11937,9406,3977,12955,8418"
pharmacy nearby,portland_center,45.5051,-122.675,"4017,14989,12937,9579,8093,4936,4937,4700,4183,15519,9258,11423,3788,5124,4898"
pharmacy nearby,powells_books,45.523,-122.6815,"8093,4017,4700,4936,4937,9258,4144,11423,14989,12937,8891,4183,4680,10046,9579"
pharmacy nearby,pioneer_square,45.5189,-122.6794,"4017,8093,4936,4937,4700,9258,11423,4144,14989,12937,4183,8891,4680,9579,10046"
parking near me,portland_center,45.5051,-122.675,"19365,19364,16540,15228,16538,18991,16537,19366,15608,16910,16913,15607,16909,19068,19069"
parking near me,powells_books,45.523,-122.6815,"16928,20305,16929,16931,16930,15424,14449,16427,20304,17930,15247,18124,20859,20860,20861"
parking near me,pioneer_square,45.5189,-122.6794,"18682,16884,13746,15154,18235,13853,13807,24095,13681,14492,16419,15164,13772,17930,18124"
hospital close by,portland_center,45.5051,-122.675,"16522,14403,16521,14402,13712,13735,15801,16321,19187,18700"
hospital close by,powells_books,45.523,-122.6815,"13712,16522,13735,15801,14403,14402,16521,16321,19187,18700"
hospital close by,pioneer_square,45.5189,-122.6794,"13712,16522,14403,14402,16521,13735,15801,16321,19187,18700"
restaurant near me,portland_center,45.5051,-122.675,"9892,16508,18281,16543,9013,10684,9014,10680,9016,3417,16241,4080,7495,351,6104"
restaurant near me,powells_books,45.523,-122.6815,"8252,8273,8177,8249,11689,8279,8120,8180,8260,8179,8242,8285,8243,8240,8259"
restaurant near me,pioneer_square,45.5189,-122.6794,"8373,2122,8653,7497,2124,3608,11322,48,8346,7660,13643,8671,8851,8861,8666"
bank near me,portland_center,45.5051,-122.675,"10689,3755,2939,4036,49,4035,8977,8865,3821,8862,8650,3610,8377,8835,7642"
bank near me,powells_books,45.523,-122.6815,"15425,8095,7642,8663,8377,3610,8835,8650,8862,3821,7979,8534,8865,8977,7970"
bank near me,pioneer_square,45.5189,-122.6794,"8377,8650,7642,3610,8862,8835,3821,8865,8977,8663,49,4035,4036,2939,3755"
grocery store nearby,portland_center,45.5051,-122.675,"16656,9037,16240,9023,14228,3465,16533,7650,16653,7295,2937,8951,3828,6198,8954"
grocery store nearby,powells_books,45.523,-122.6815,"8255,8182,8307,15422,8382,8464,8449,9058,8809,8837,3982,15404,8806,8511,4635"
grocery store nearby,pioneer_square,45.5189,-122.6794,"3982,8837,8449,6198,3828,8809,8382,8806,8307,8255,8464,2937,15130,9058,7650"
gas station near me,portland_center,45.5051,-122.675,"16238,17395,15609,15258,14243,15829,904,20346,19357,12930,17313,16949,15138,18396,19990"
gas station near me,powells_books,45.523,-122.6815,"20346,17313,14953,14977,16238,15258,18949,904,15829,13938,14084,17395,14243,19990,14310"
gas station near me,pioneer_square,45.5189,-122.6794,"20346,16238,15258,17313,904,15829,14953,14977,17395,18949,14243,13938,14084,19990,15609"
hairdresser nearby,portland_center,45.5051,-122.675,"9009,9034,9035,5525,16213,10531,8998,11276,2934,4041,8987,8879,8945,2516,1732"
hairdresser nearby,powells_books,45.523,-122.6815,"8275,8250,8280,6718,8263,8257,8290,8291,16435,13659,8304,8303,8360,8359,8351"
hairdresser nearby,pioneer_square,45.5189,-122.6794,"8368,8351,8359,8360,8388,8670,8385,1732,13659,8332,8450,8423,8421,8818,16422"
dentist near me,portland_center,45.5051,-122.675,"1168,8990,11566,9002,8982,3820,10316,18210,18471,7494,16696,11296,622,4959,7464"
dentist near me,powells_books,45.523,-122.6815,"622,7494,3820,10316,7973,3033,7997,18210,10415,9002,8982,8990,16696,12644,18471"
dentist near me,pioneer_square,45.5189,-122.6794,"3820,10316,7494,9002,8990,8982,18210,622,16696,7973,3033,7997,10415,18471,12644"
bookshop near me,portland_center,45.5051,-122.675,"9344,9044,18080,8677,11740,8416,12609,18114,15783,17246,13837,19732,12572,9282,16699"
bookshop near me,powells_books,45.523,-122.6815,"13837,8416,12609,11740,12572,8677,18080,9282,9044,9344,15783,18114,9459,19732,5752"
bookshop near me,pioneer_square,45.5189,-122.6794,"8677,11740,8416,12609,13837,18080,9044,12572,9344,9282,15783,18114,9459,19732,5752"
bicycle rental nearby,portland_center,45.5051,-122.675,"5574,5573,5588,5683,1167,6076,7382,5682,5707,5723,20610,7289,12511,5589,7379"
bicycle rental nearby,powells_books,45.523,-122.6815,"5616,5708,5747,4662,172,2147,5746,5590,4675,5617,5741,5750,11049,5745,5681"
bicycle rental nearby,pioneer_square,45.5189,-122.6794,"2147,172,5590,5617,5572,5616,5589,5708,5751,8750,5750,12511,4662,5747,5682"
