query,check_time,relevant_poi_ids,num_relevant,num_candidates
pasta place open today,2026-07-14T15:00:00,"38,42,48,109,145,162,191,251,348,351,398,493,502,631,879,889,903,917,920,944,1031,1085,1239,1717,1864,2017,2067,2201,2203,2247,2266,2299,2319,3502,3608,3697,3751,4297,4704,4935,5621,5719,5759,6064,6066,6099,6155,6639,6647,6656,6698,6866,7032,7036,7038,7188,7205,7213,7224,7231,7297,7551,7563,7564,7677,7678,7681,7704,7729,7733,7757,7775,7777,7802,7805,7822,7955,8080,8101,8213,8236,8239,8252,8259,8260,8279,8415,8420,8471,8532,8533,8744,8756,8817,8836,8840,8852,8874,8882,8915,8996,9000,9051,9177,9221,9307,9308,9332,9455,9456,9732,10342,10348,10452,10537,10755,10756,10800,10817,10845,10870,10910,11092,11147,11154,11176,11269,11308,11309,11325,11496,11497,11560,11577,11609,11676,11677,11810,11862,11939,12403,12526,12627,12635,12638,12639,12705,12719,12899,12900,13250,13378,13456,13589,13633,13634,13642,13646,13652,13771,13906,13961,14003,14053,14155,14207,14242,14276,14360,14465,14478,14733,14816,14842,14887,14934,14940,14944,15111,15143,15328,15374,15620,15737,15741,15754,15845,15846,15892,15951,15984,16006,16019,16020,16028,16029,16031,16036,16062,16098,16123,16135,16224,16241,16244,16264,16265,16285,16307,16351,16366,16446,16447,16463,16517,16589,16598,16754,16825,16845,16954,17011,17019,17042,17056,17059,17119,17143,17194,17254,17265,17273,17307,17335,17376,17420,17423,17447,17525,17660,17716,17729,17814,17840,17849,17857,17897,17989,18074,18242,18314,18387,18415,18493,18495,18527,18601,18627,18650,18708,18730,18732,18734,18741,18753,18839,18914,18952,18960,19006,19035,19043,19126,19137,19245,19315,19332,19336,19337,19353,19397,19411,19566,19601,19603,19605,19624,19718,19719,19745,19917,19960,19963,20102,20106,20108,20576,20603,23979,24731",300,1254
dinner near me tonight,2026-07-14T22:00:00,"48,348,631,772,889,917,1013,1085,1239,2122,2299,3501,3751,4297,4935,5621,6065,6066,6099,6698,7217,7551,7704,7733,7850,7959,8080,8236,8252,8287,8415,8424,8471,8532,8533,8817,8840,8852,8881,9187,9392,9455,10333,10537,10540,10845,10910,11269,11308,12638,12639,14053,14155,14207,14242,14293,14842,14887,15143,15737,15743,15959,16028,16029,16351,16447,16507,17019,17119,17254,17307,17729,17814,18387,18415,18708,18960,19353,19566,19603,19718,19745",82,1254
nearest pharmacy open now,2026-07-14T15:00:00,"2350,3788,3924,4017,4179,4183,4407,4409,4680,4700,4898,4936,4937,5124,5432,5644,5720,5721,6056,6114,6382,6427,6441,6464,7723,8093,9258,10440,11423,12937,15519,23833",32,47
grocery shop open now,2026-07-14T15:00:00,"106,549,915,935,1088,1824,2362,2439,3982,4635,5567,6168,6258,7196,7650,8182,8511,8837,9733,9900,10261,10752,13356,13422,13483,13852,13894,13941,13969,14023,14090,14093,14116,14197,14237,14285,14370,14389,14448,14484,14495,14497,14718,14806,14938,14997,15029,15030,15118,15125,15126,15129,15130,15131,15132,15133,15134,15145,15147,15252,15290,15321,15322,15378,15422,15602,15673,15727,15935,15948,15964,15993,16000,16072,16146,16179,16221,16443,16531,16601,16653,16704,16846,16977,17028,17086,17195,17507,17853,17917,17936,18218,18252,18284,18296,18528,19124,19135,19488,19604,19746,20714,23829",103,393
cafe open late tonight,2026-07-14T22:00:00,"228,2333,7995,8984,9570,11913,14151,17639,17640",9,483
restaurant open right now,2026-07-14T15:00:00,"38,42,48,109,145,162,191,251,348,351,398,493,502,631,879,889,903,917,920,944,1031,1085,1239,1717,1864,2017,2067,2201,2203,2247,2266,2299,2319,3502,3608,3697,3751,4297,4704,4935,5621,5719,5759,6064,6066,6099,6155,6639,6647,6656,6698,6866,7032,7036,7038,7188,7205,7213,7224,7231,7297,7551,7563,7564,7677,7678,7681,7704,7729,7733,7757,7775,7777,7802,7805,7822,7955,8080,8101,8213,8236,8239,8252,8259,8260,8279,8415,8420,8471,8532,8533,8744,8756,8817,8836,8840,8852,8874,8882,8915,8996,9000,9051,9177,9221,9307,9308,9332,9455,9456,9732,10342,10348,10452,10537,10755,10756,10800,10817,10845,10870,10910,11092,11147,11154,11176,11269,11308,11309,11325,11496,11497,11560,11577,11609,11676,11677,11810,11862,11939,12403,12526,12627,12635,12638,12639,12705,12719,12899,12900,13250,13378,13456,13589,13633,13634,13642,13646,13652,13771,13906,13961,14003,14053,14155,14207,14242,14276,14360,14465,14478,14733,14816,14842,14887,14934,14940,14944,15111,15143,15328,15374,15620,15737,15741,15754,15845,15846,15892,15951,15984,16006,16019,16020,16028,16029,16031,16036,16062,16098,16123,16135,16224,16241,16244,16264,16265,16285,16307,16351,16366,16446,16447,16463,16517,16589,16598,16754,16825,16845,16954,17011,17019,17042,17056,17059,17119,17143,17194,17254,17265,17273,17307,17335,17376,17420,17423,17447,17525,17660,17716,17729,17814,17840,17849,17857,17897,17989,18074,18242,18314,18387,18415,18493,18495,18527,18601,18627,18650,18708,18730,18732,18734,18741,18753,18839,18914,18952,18960,19006,19035,19043,19126,19137,19245,19315,19332,19336,19337,19353,19397,19411,19566,19601,19603,19605,19624,19718,19719,19745,19917,19960,19963,20102,20106,20108,20576,20603,23979,24731",300,1254
coffee shop open early morning,2026-07-14T07:00:00,"21,33,112,152,161,228,294,330,368,610,639,662,675,680,681,771,992,995,1032,1103,1860,1905,2029,2321,2333,2374,2397,2547,3031,3034,3211,3565,3567,3665,3679,4135,4184,4408,4681,4899,4975,5051,5182,5547,5735,6054,6069,6194,6428,6609,6969,7015,7146,7212,7321,7380,7620,7626,7652,7653,7656,7703,7800,7974,7995,8036,8074,8083,8206,8220,8418,8673,8822,8944,8952,8969,8973,9032,9056,9311,9549,9570,9719,9894,10020,10493,10629,10740,10815,10824,10847,10878,11203,11239,11280,11468,11876,11955,12504,12716,12898,12913,12955,13380,13393,13420,13424,13647,13970,14115,14124,14150,14151,14223,14224,14437,14827,14884,15110,15305,15362,15535,15613,15617,15802,15974,15986,16059,16063,16099,16118,16129,16258,16466,16545,16677,16747,16760,16801,16969,16991,17552,17639,17640,17719,17777,17856,17887,18138,18187,18249,18519,18934,18940,19004,19005,19024,19229,19242,19243,19272,19339,19483,19494,19515,19548,19680,19737,19845,19887,19933,20239,20544,20650,21052,24347,24348",177,483
grocery store open 24 7,2026-07-14T15:00:00,"106,549,915,935,1088,1824,2362,2439,3982,4635,5567,6168,6258,7196,7650,8182,8511,8837,9733,9900,10261,10752,13356,13422,13483,13852,13894,13941,13969,14023,14090,14093,14116,14197,14237,14285,14370,14389,14448,14484,14495,14497,14718,14806,14938,14997,15029,15030,15118,15125,15126,15129,15130,15131,15132,15133,15134,15145,15147,15252,15290,15321,15322,15378,15422,15602,15673,15727,15935,15948,15964,15993,16000,16072,16146,16179,16221,16443,16531,16601,16653,16704,16846,16977,17028,17086,17195,17507,17853,17917,17936,18218,18252,18284,18296,18528,19124,19135,19488,19604,19746,20714,23829",103,393
breakfast place open now,2026-07-14T15:00:00,"21,29,33,38,42,48,109,144,145,152,162,191,228,251,294,348,351,368,372,398,493,502,610,631,639,680,771,879,889,903,917,920,944,946,995,1031,1085,1103,1239,1717,1860,1864,2017,2029,2067,2201,2203,2247,2266,2299,2319,2321,2333,2434,2547,3030,3031,3034,3087,3211,3364,3502,3567,3608,3679,3697,3751,3753,4135,4180,4184,4297,4408,4681,4704,4899,4935,4975,5051,5547,5575,5621,5719,5735,5759,6054,6064,6066,6099,6155,6194,6387,6428,6639,6647,6656,6698,6866,6969,7015,7032,7036,7038,7146,7188,7205,7212,7213,7224,7225,7231,7297,7551,7563,7564,7626,7639,7653,7677,7678,7681,7704,7729,7733,7757,7772,7775,7777,7802,7805,7822,7955,7960,7974,7995,8036,8074,8080,8083,8101,8206,8213,8220,8236,8239,8252,8259,8260,8262,8279,8371,8415,8418,8420,8471,8514,8532,8533,8673,8744,8756,8817,8822,8836,8840,8852,8874,8882,8915,8937,8944,8952,8969,8973,8984,8996,9000,9051,9056,9177,9221,9307,9308,9311,9332,9445,9455,9456,9549,9570,9719,9732,9894,10009,10026,10342,10348,10452,10493,10537,10629,10740,10755,10756,10757,10800,10815,10817,10824,10826,10845,10867,10870,10878,10910,11092,11147,11154,11169,11176,11179,11203,11241,11269,11280,11308,11309,11325,11468,11496,11497,11560,11577,11609,11676,11677,11810,11862,11876,11913,11939,11955,12403,12526,12549,12627,12635,12638,12639,12705,12719,12898,12899,12900,12955,13028,13250,13378,13380,13395,13420,13424,13456,13589,13606,13626,13633,13634,13642,13646,13652,13771,13906,13961,13970,14003,14053,14115,14123,14124,14150,14151,14155,14207,14223,14224,14242,14276,14360,14465,14478,14733,14816,14827,14842,14884,14887,14934,14940,14944,15110,15111,15143,15305,15328,15362,15374,15535,15613,15617,15620,15737,15741,15754,15802,15845,15846,15892,15951,15974,15984,16006,16019,16020,16028,16029,16031,16036,16059,16062,16063,16098,16099,16123,16129,16135,16224,16241,16244,16258,16264,16265,16285,16307,16351,16366,16446,16447,16463,16466,16517,16545,16582,16589,16598,16645,16677,16754,16760,16825,16845,16893,16954,16969,16991,17011,17019,17042,17056,17059,17119,17143,17194,17254,17265,17273,17307,17335,17376,17420,17423,17447,17525,17552,17639,17640,17660,17716,17719,17729,17777,17814,17840,17849,17856,17857,17887,17897,17989,18074,18138,18187,18242,18249,18314,18387,18415,18493,18495,18519,18527,18601,18627,18650,18708,18730,18732,18734,18741,18753,18786,18839,18903,18914,18918,18934,18940,18952,18960,18970,19004,19005,19006,19024,19025,19035,19043,19126,19137,19229,19242,19245,19272,19315,19332,19336,19337,19339,19353,19397,19411,19483,19494,19515,19566,19589,19601,19603,19605,19624,19680,19718,19719,19737,19745,19845,19862,19887,19917,19933,19960,19963,20102,20106,20108,20239,20544,20576,20603,20650,20828,21052,23979,24347,24348,24731",486,1728
what cafes are still open,2026-07-14T15:00:00,"21,29,33,144,152,228,294,367,368,372,610,639,680,771,946,995,1103,1860,2029,2321,2333,2434,2547,3030,3031,3034,3087,3211,3364,3567,3679,3753,4135,4180,4184,4408,4681,4899,4975,5051,5547,5575,5735,6054,6194,6387,6428,6969,7015,7146,7212,7225,7321,7626,7639,7653,7772,7960,7974,7995,8036,8074,8083,8206,8220,8262,8371,8418,8514,8673,8822,8937,8944,8952,8969,8973,8984,9056,9311,9445,9549,9570,9719,9894,10009,10026,10493,10629,10740,10757,10815,10824,10826,10867,10878,11169,11179,11203,11241,11280,11468,11876,11913,11955,12549,12898,12955,13028,13380,13395,13420,13424,13606,13626,13970,14115,14123,14124,14150,14151,14223,14224,14827,14884,15110,15305,15362,15535,15613,15617,15802,15974,16059,16063,16099,16129,16258,16466,16545,16582,16645,16677,16760,16893,16969,16991,17552,17639,17640,17719,17777,17856,17887,18138,18187,18249,18519,18786,18903,18918,18934,18940,18970,19004,19005,19024,19025,19229,19242,19272,19339,19483,19494,19515,19589,19680,19737,19845,19862,19887,19933,20239,20544,20650,20828,21052,24347,24348",188,483
